"","zip3","mean_flood_value","median_flood_value","max_flood_value","inundation_exposure","total_population","year","weighted_percent_wells"
"122","283",0.426208445270365,0.286931658824582,0.992692910169053,FALSE,866408,2020,9.57504587511083
"123","283",0.426208445270365,0.286931658824582,0.992692910169053,FALSE,837398,2021,9.57504587511083
"124","283",0.426208445270365,0.286931658824582,0.992692910169053,FALSE,839969,2022,9.57504587511083
"125","283",0.426208445270365,0.286931658824582,0.992692910169053,FALSE,841811,2023,9.57504587511083
"126","283",0.426208445270365,0.286931658824582,0.992692910169053,FALSE,841811,2024,9.57504587511083
"127","284",0.686721383670276,0.632682725178316,0.965757052028326,TRUE,501173,2016,18.3450435328501
"128","284",0.686721383670276,0.632682725178316,0.965757052028326,TRUE,509384,2017,18.3450435328501
"129","284",0.686721383670276,0.632682725178316,0.965757052028326,TRUE,519693,2018,18.3450435328501
"130","284",0.686721383670276,0.632682725178316,0.965757052028326,TRUE,529579,2019,18.3450435328501
"131","284",0.686721383670276,0.632682725178316,0.965757052028326,TRUE,539032,2020,18.3450435328501
"132","284",0.686721383670276,0.632682725178316,0.965757052028326,TRUE,520734,2021,18.3450435328501
"133","284",0.686721383670276,0.632682725178316,0.965757052028326,TRUE,532568,2022,18.3450435328501
"134","284",0.686721383670276,0.632682725178316,0.965757052028326,TRUE,546032,2023,18.3450435328501
"135","284",0.686721383670276,0.632682725178316,0.965757052028326,TRUE,546032,2024,18.3450435328501
"136","285",0.32707163646239,0.148404737903103,0.897294850713915,FALSE,504633,2016,4.23946742291331
"137","285",0.32707163646239,0.148404737903103,0.897294850713915,FALSE,511193,2017,4.23946742291331
"138","285",0.32707163646239,0.148404737903103,0.897294850713915,FALSE,511056,2018,4.23946742291331
"139","285",0.32707163646239,0.148404737903103,0.897294850713915,FALSE,511760,2019,4.23946742291331
"140","285",0.32707163646239,0.148404737903103,0.897294850713915,FALSE,514048,2020,4.23946742291331
